CIF,NAperUC
QODBAM_extracted.cif,200
QOPFOS_extracted.cif,1756
QOTFEL_extracted.cif,732
QOTFIP_extracted.cif,1706
QOTFOV_extracted.cif,2292
QOZPIE_extracted.cif,800
QOZTAC01_extractedm.cif,4338
QOZTAC_extractedm.cif,4338
QOZTEG01_extractedm.cif,2272
QOZTEG_extractedm.cif,2272
QUBDUO_extracted.cif,1412
QUFZEY_extracted.cif,932
QUFZIC_extracted.cif,946
QUFZOI_extracted.cif,964
QUHSES_extracted.cif,1440
QUHSIW_extracted.cif,1224
QUMGAG_extracted.cif,634
QURBIO_extracted.cif,720
QURCEN_extracted.cif,720
QURCIR_extracted.cif,936
QURCOX_extracted.cif,936
RADTOH_extracted.cif,880
RADTUN_extracted.cif,882
RAKPOI_extracted.cif,1680
RAKTAY_extracted.cif,372
RANCEO_extracted.cif,1296
RAPWOX_extracted.cif,1360
RAPWUD_extracted.cif,1508
RAPXAK_extracted.cif,952
RAPXEO_extracted.cif,2808
RAPXIS_extracted.cif,2852
RATCAS_extracted.cif,1968
RATXAM_extracted.cif,944
RATXIU_extracted.cif,800
RAYCOM_extracted.cif,472
REFDAK_extracted.cif,1020
REHRUU_extracted.cif,1812
REJBUF_extracted.cif,516
REJXEK_extracted.cif,148
RENGID_extracted.cif,6872
RIDPUR_extracted.cif,316
RIDWAE_extracted.cif,504
RIFNUS_extracted.cif,998
RIFTAD_extracted.cif,1402
RINJED_extracted.cif,328
ROBVUB_extracted.cif,2340
ROHPOV_extracted.cif,512
ROTDEL_extracted.cif,1244
RUPMEV_extracted.cif,5904
RUSYUB_extracted.cif,532
RUVJIC_extracted.cif,1000
RUWMED_extracted.cif,1128
RUWMIH_extracted.cif,2084
RUWMON_extracted.cif,2874
RUWMUT_extracted.cif,1876
SAKTUU_extracted.cif,498
SAPWIR_extracted.cif,614
SATWOA_extracted.cif,576
SATWUG_extracted.cif,1344
SATXAN_extracted.cif,536
SATXER_extracted.cif,752
SAXNIR_extracted.cif,3088
SAYGIL_extracted.cif,2480
SAYGOR_extracted.cif,2696
SAYGUX_extracted.cif,1244
SAYHAE_extracted.cif,1632
SAYHIM_extracted.cif,3270
SAYHOS_extracted.cif,5512
SEJTOQ_extracted.cif,112
SELPOR_extracted.cif,146
SEQNAE_extracted.cif,958
SERBAT_extracted.cif,3996
SERBIB_extracted.cif,924
SERBOH_extracted.cif,2860
SERDUQ_extracted.cif,220
SERFAY_extracted.cif,174
SERFEC_extracted.cif,1232
SERHAA_extracted.cif,4668
SERWAQ_extracted.cif,374
SERWEU_extracted.cif,386
SERWIY_extracted.cif,668
SERWOE_extracted.cif,462
SERWUK_extractedm.cif,1734
SEYGUB_extracted.cif,162
SEYHAI_extracted.cif,206
SEZFAG_extracted.cif,3816
SEZFEK_extracted.cif,880
SEZFIO_extractedm.cif,3072
SEZFOU_extracted.cif,498
SICHUK_extractedm.cif,12720
SICJAS_extractedm.cif,2540
SIHJID_extracted.cif,636
SIHWAJ_extracted.cif,3304
SIHWEN_extracted.cif,1322
SIKDUM_extracted.cif,172
SIWLOB_extracted.cif,1218
SIWLUH_extracted.cif,996
SIZJAO01_extracted.cif,546
SIZJAO02_extracted.cif,584
SIZJAO03_extractedm.cif,2176
SIZJAO04_extracted.cif,548
SIZJAO_extracted.cif,1088
SIZKET01_extracted.cif,1836
SIZKET_extracted.cif,702
SIZQEY_extracted.cif,1270
SODBIX_extracted.cif,612
SODBOD_extracted.cif,644
SODQAE_extracted.cif,572
SODQEI_extracted.cif,536
SODQIM_extracted.cif,568
SODQOS_extracted.cif,588
SODQUY_extracted.cif,508
SODTIQ_extracted.cif,2276
SOJMOV_extracted.cif,1678
SUJKEO_extracted.cif,1356
SUNQUO_extracted.cif,142
SUPGOA_extracted.cif,226
SUPHOB_extracted.cif,664
SUPPID_extracted.cif,936
SUPPOJ_extracted.cif,1386
SUPPUO01_extracted.cif,1132
SUPPUO_extracted.cif,1132
SUPPUP_extracted.cif,408
SUQGOC_extracted.cif,1032
SUQGUI_extracted.cif,2180
SUTCER_extracted.cif,1038
SUWFUN_extracted.cif,3048
SUWGAU_extractedm.cif,2122
SUWGEY_extracted.cif,2460
SUWGIC_extracted.cif,9396
SUWGOI_extracted.cif,220
SUWGUO_extracted.cif,500
SUWHAV_extracted.cif,1332
